0~0
0,1~0,019933422
0,2~0,078939006
0,3~0,174664385
0,4~0,303293291
0,5~0,459697694
0,6~0,637642246
0,7~0,830032857
0,8~1,029199522
0,9~1,227202095
1~1,416146837
1,1~1,588501117
1,2~1,737393716
1,3~1,856888753
1,4~1,942222341
1,5~1,989992497
1,6~1,998294776
1,7~1,966798193
1,8~1,896758416
1,9~1,790967712
2~1,653643621
2,1~1,490260821
2,2~1,30733287
2,3~1,112152527
2,4~0,912501017
2,5~0,716337815
2,6~0,531483329
2,7~0,365307124
2,8~0,224434121
2,9~0,114480483
3~0,039829713
3,1~0,003457903
3,2~0,006815081
3,3~0,049767408
3,4~0,13060251
3,5~0,246097746
3,6~0,391648685
3,7~0,561452672
3,8~0,748740157
3,9~0,946044579
4~1,145500034
4,1~1,339154861
4,2~1,519288654
4,3~1,678720047
4,4~1,811093014
4,5~1,911130262
4,6~1,974843621
4,7~1,999693042
4,8~1,984687856
4,9~1,930426272
5~1,839071529
5,1~1,714265652
5,2~1,560984257
5,3~1,385338191
5,4~1,194329906
5,5~0,995574302
5,6~0,796995136
5,7~0,606509134
5,8~0,43171037
5,9~0,279567521
6~0,156146041
6,1~0,066366356
6,2~0,013807698
6,3~0,000565414
6,4~0,027167434
6,5~0,092553219
6,6~0,194116042
6,7~0,327806916
6,8~0,488296008
6,9~0,669185122
7~0,863262782
7,1~1,062791723
7,2~1,259817356
7,3~1,446484891
7,4~1,615352483
7,5~1,759687913
7,6~1,873736983
7,7~1,952952917
7,8~1,994177625
7,9~1,995767609
8~1,95765948
8,1~1,88137249
8,2~1,769947961
8,3~1,627828035
8,4~1,460678587
8,5~1,275163338
8,6~1,078678195
8,7~0,8790564
8,8~0,684256245
8,9~0,502043797
9~0,339683292
9,1~0,20364753
9,2~0,099359828
9,3~0,030977807
9,4~0,001227643
9,5~0,011295382
9,6~0,060779653
9,7~0,147707676
9,8~0,268613904
9,9~0,418678188
10~0,591917938
